,"(Cocoyam, Spinach, etc)",Agricultural eggs,Animal fat,Apples,Avocado pear,Baby milk powder,Bananas,Beef,Beer (local and imported),Biscuits,Bottled water,Bread,Brown beans,Buns/PofPof/Donuts,Butter/Margarine,Cake,Canned beef/corned beef,Canned fish/seafood,Cashew nut,Cassava flour,Cassava-Roots,Cassava-roots,Cheese (wara),Chicken,Chocolate drinks,Chocolate drinks (including Milo),Coconut,Coconut oil,Cocoyam,Coffee,"Condiments,(salt,spices,pepper, etc)",Dry pepper,Duck,Fish-Dried,Fish-Fresh,Fish-Frozen,Fish-Smoked,Fresh milk,Fresh pepper,Fruit canned,Fruit juice canned,Fruit juice canned/Pack,Garden eggs/egg plant,Gari -Yellow,Gari-White,Gin,Goat,Grinded pepper,Ground Ogbono,Ground Pepper,Groundnut oil,Groundnuts,Groundnuts (shelled),Groundnuts (unshelled),Guava,Guinea Corn/Sorghum,Honey,Jams,Kola nut,Local eggs,Maize,Maize (off the cob/grains),Maize (on the cob),Maize (shelled/off the cob),Maize (shelled/on the cob),Maize (unshelled/on the cob),Maize flour,Maize shelled,Malt drinks,Mangoes,Meat pie/Sausage roll,Melon (ground),Melon (shelled),Melon (unshelled),Milk powder,Milk tinned (unsweetened),Millet,Mutton,Ogbonno grinded,Ogbonno ungrinded,Okra-dried,Okra-fresh,Onions,Orange/tangerine,Other alcoholic beverages,Other domestic poultry,Other eggs (not chicken),Other fish or seafood,Other fruites,Other Fruits,Other grains and flour,Other meat (excl. poultry),Other milk products,Other Non-acoholic drinks,Other non-acoholic drinks,Other nuts/seeds/pulses,Other Oil and Fat,Other Oils and Fat,Other oils and fats,Other roots and tuber,Other sweets Confectionary,Other vegetables (fresh or canned),Palm oil,Palm wine,Pawpaw,Pepper,Pineapples,Pito,Plantains,Pork,Potatoes,Rice-Imported,Rice-local,Sachet water,Salt,"Seafood (lobster, crab, prawns)",Sheabutter,Snails,"Soft drinks (Coca cola, spirit etc)",Soya beans,Sugar,Sweet Potatoes,Tea,Tomato puree(canned),Tomatoes,Unground Ogbono,Watermelon,Wheat flour,White beans,Wild game meat,Yam flour,Yam-roots
Energy,24.0,231.0,867.0,54.0,160.0,65.0,89.0,247.0,43.0,347.0,0.0,1130.0,0.0,324.0,714.0,427.0,1046.0,90.0,488.0,375.0,667.0,667.0,393.0,598.0,91.0,91.0,1540.0,833.0,267.0,467.0,333.0,367.0,1690.0,290.0,109.0,288.0,117.0,54.0,1050.0,54.0,48.0,48.0,104.0,339.0,339.0,231.0,456.0,0.0,60.0,0.0,884.0,587.0,587.0,587.0,49.0,1377.0,1272.0,1163.0,533.0,143.0,48.0,48.0,48.0,48.0,48.0,48.0,1524.0,48.0,58.0,60.0,204.0,141.0,141.0,141.0,375.0,326.0,498.0,1180.0,60.0,60.0,425.0,138.0,40.0,47.0,967.0,1276.0,776.0,106.0,62.0,62.0,367.0,188.0,62.0,45.0,45.0,533.0,867.0,867.0,867.0,619.0,357.0,29.0,3699.0,347.0,250.0,1050.0,50.0,43.0,122.0,3130.0,243.0,544.0,544.0,0.0,0.0,324.0,867.0,377.0,42.0,565.0,1618.0,359.0,34.0,158.0,18.0,60.0,31.0,345.0,0.0,510.0,267.0,494.0
"Fatty acids, total monounsaturated",0.0,0.0,0.0,0.0,9.799,1.113,0.032,8.48,0.0,0.0,0.0,0.717,0.0,0.0,0.0,0.0,5.96,0.114,0.0,0.0,0.075,0.075,0.0,3.611,0.325,0.325,0.0,6.31,0.0,0.0,0.0,0.0,18.69,0.342,1.232,0.073,2.023,0.0,0.739,0.009,0.01,0.01,0.016,0.0,0.0,0.0,1.03,0.0,0.14,0.0,46.2,26.181,26.181,26.181,0.0,1.131,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,3.613,0.0,0.0,0.0,0.0,0.062,0.184,9.6,0.14,0.14,0.0,0.017,0.013,0.023,0.0,10.25,6.525,0.0,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.0,0.0,37.0,0.0,0.0,0.739,0.013,0.0,0.0,37.94,0.002,0.088,0.088,0.0,0.0,0.22,0.0,0.259,0.0,0.0,0.0,0.001,0.0,0.031,0.031,0.14,0.0,0.0,0.0,1.3,0.0,0.006
"Fatty acids, total polyunsaturated",0.0,0.0,0.0,0.0,1.816,0.608,0.073,0.505,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.63,0.259,0.0,0.0,0.048,0.048,0.0,1.508,0.047,0.047,0.0,1.7,0.0,0.0,0.0,0.0,5.08,0.804,0.689,0.164,0.995,0.0,0.998,0.024,0.031,0.031,0.076,0.0,0.0,0.0,0.17,0.0,0.071,0.0,32.0,9.773,9.773,9.773,0.0,1.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,3.302,0.0,0.0,0.0,0.0,0.006,0.508,1.85,0.071,0.071,0.0,0.027,0.017,0.025,0.0,2.52,1.223,0.0,0.068,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.0,0.0,9.3,0.0,0.0,0.998,0.04,0.0,0.0,9.4,0.043,0.076,0.076,0.0,0.0,0.296,0.0,0.252,0.0,0.0,0.0,0.014,0.0,0.086,0.083,0.071,0.0,0.0,0.0,0.48,0.0,0.076
"Fatty acids, total saturated",0.0,0.0,10.0,0.0,2.126,1.359,0.112,7.291,0.0,10.67,0.0,0.821,0.0,3.52,50.0,5.45,6.18,0.224,6.98,0.0,0.074,0.074,17.86,2.301,0.903,0.903,60.0,82.5,0.0,16.67,0.0,0.0,13.22,0.462,0.763,0.085,0.929,1.25,1.392,0.009,0.012,0.012,0.034,0.0,0.0,0.0,0.71,0.0,0.092,0.0,16.9,7.723,7.723,7.723,0.04,0.61,0.0,0.01,5.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,4.365,0.0,0.0,0.0,0.0,0.121,0.172,10.19,0.092,0.092,0.0,0.026,0.042,0.015,0.0,6.87,3.681,0.0,0.053,0.053,0.0,4.02,2.08,0.0,0.0,5.0,10.0,10.0,10.0,0.222,0.0,0.0,49.3,0.0,0.0,1.392,0.009,0.0,0.0,29.38,0.026,0.077,0.077,0.0,0.0,0.181,10.0,0.361,0.0,0.0,0.0,0.018,0.0,0.029,0.028,0.092,0.0,0.3,0.0,0.99,0.0,0.037
"Fatty acids, total trans",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fatty acids, total trans-dienoic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fatty acids, total trans-monoenoic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fatty acids, total trans-polyenoic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fiber, insoluble",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fiber, soluble",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fiber, total dietary",1.2,0.0,0.0,2.1,6.7,0.0,2.6,0.0,0.0,1.3,0.0,2.3,4.1,1.4,0.0,2.7,0.0,0.0,2.3,3.1,1.8,1.8,0.0,0.0,0.0,0.0,13.3,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.9,0.9,0.9,3.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,8.4,8.4,8.4,5.2,6.7,0.2,1.1,6.7,0.0,3.2,3.2,3.2,3.2,3.2,3.2,8.4,3.2,0.0,1.6,1.1,0.8,0.8,0.8,4.2,0.0,1.3,0.0,1.6,1.6,20.0,3.2,1.7,2.4,0.0,0.0,0.0,0.0,2.1,2.1,3.3,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,10.0,25.3,1.4,0.0,1.7,0.0,2.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.9,1.2,1.6,0.4,2.6,4.3,0.0,1.0,4.1
"Fluoride, F",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.3,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Folate, DFE",0.0,0.0,0.0,0.0,81.0,18.0,20.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,27.0,27.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,9.0,7.0,2.0,0.0,17.0,3.0,3.0,3.0,22.0,0.0,0.0,0.0,5.0,0.0,43.0,0.0,0.0,97.0,97.0,97.0,0.0,20.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,43.0,50.0,0.0,0.0,0.0,0.0,9.0,19.0,18.0,43.0,43.0,0.0,60.0,19.0,30.0,0.0,2.0,80.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,17.0,18.0,6.0,22.0,1.0,17.0,3.0,3.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,11.0,15.0,43.0,0.0,0.0,0.0,0.0,0.0,23.0
"Folate, food",0.0,0.0,0.0,0.0,81.0,0.0,20.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,27.0,27.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,9.0,7.0,2.0,0.0,17.0,3.0,3.0,3.0,22.0,0.0,0.0,0.0,5.0,0.0,43.0,0.0,0.0,97.0,97.0,97.0,0.0,20.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,43.0,12.0,0.0,0.0,0.0,0.0,9.0,19.0,18.0,43.0,43.0,0.0,60.0,19.0,30.0,0.0,2.0,80.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,17.0,18.0,6.0,22.0,1.0,17.0,3.0,3.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,11.0,15.0,43.0,0.0,0.0,0.0,0.0,0.0,23.0
"Folate, total",0.0,0.0,0.0,0.0,81.0,10.0,20.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,27.0,27.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,800.0,0.0,0.0,13.0,25.0,9.0,7.0,2.0,0.0,17.0,3.0,3.0,3.0,22.0,0.0,0.0,0.0,5.0,0.0,43.0,0.0,0.0,97.0,97.0,97.0,0.0,20.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,43.0,35.0,14.0,14.0,14.0,0.0,9.0,19.0,18.0,43.0,43.0,0.0,60.0,19.0,30.0,0.0,2.0,80.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,17.0,18.0,6.0,22.0,1.0,17.0,3.0,3.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,11.0,15.0,43.0,0.0,0.0,0.0,0.0,0.0,23.0
Folic acid,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fructose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galactose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glucose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,2.08,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glutamic acid,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.413,0.0,0.0,0.0,0.206,0.206,0.0,2.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.709,0.0,0.0,2.297,0.0,0.0,1.413,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.439,0.018,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.174,0.174,0.0,1.581,0.763,2.402,0.0,0.0,0.0,0.271,0.0,0.0,0.0,3.739,1.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.413,0.0,0.0,0.0,0.693,0.0,0.524,0.524,0.0,0.0,2.437,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.658,0.0,0.0,0.0,0.0,0.0,3.341,0.0,0.181
Glycine,0.0,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263,0.0,0.0,0.0,0.028,0.028,0.0,0.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.0,0.0,0.71,0.0,0.0,0.441,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.007,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.021,0.021,0.0,0.16,0.092,0.809,0.0,0.0,0.0,0.044,0.0,0.0,0.0,1.594,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.361,0.0,0.122,0.122,0.0,0.0,1.102,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.981,0.0,0.053
Histidine,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863,0.0,0.0,0.0,0.02,0.02,0.0,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.0,0.0,0.324,0.0,0.0,0.159,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.001,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.205,0.075,0.524,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.7,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.057,0.0,0.063,0.063,0.0,0.0,0.413,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.025,0.0,0.0,0.0,0.0,0.0,1.091,0.0,0.034
Hydroxyproline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iodine, I",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
